feature,importance
SMA_50,0.22644688055061998
SMA_20,0.1141408033395513
ATR,0.09615224723822642
EMA_26,0.07903396744832236
Price_Change_7D,0.0776072257595919
MACD_Signal,0.07306026797094357
Close_SMA_Ratio,0.06634587587990905
RSI,0.043581587141317046
MACD_Histogram,0.041484485673233366
MACD,0.03564913397439289
BB_Position,0.035451662709419816
BB_Width,0.03540731444971792
EMA_12,0.027276982857403383
Volume_Ratio,0.022284976916152326
Price_Change_3D,0.014887792000859958
Price_Change_1D,0.01118879609033872
